T1,T2,T3
北京直辖市,北京直辖市,0
广州市,北京直辖市,477
上海直辖市,北京直辖市,300.5
天津直辖市,北京直辖市,22
重庆直辖市,北京直辖市,504
沈阳市,北京直辖市,346.5
南京市,北京直辖市,244.5
武汉市,北京直辖市,268.5
成都市,北京直辖市,605
