T21,T22,T23
北京直辖市,北京直辖市,0
广州市,北京直辖市,271.125
上海直辖市,北京直辖市,164.5625
天津直辖市,北京直辖市,14.625
重庆直辖市,北京直辖市,207.5625
沈阳市,北京直辖市,109.6875
南京市,北京直辖市,129.375
武汉市,北京直辖市,146.8125
成都市,北京直辖市,221.0625
